x_mm,y_mm,z_mm,edep_keV
-4.71459,3.12614,-8.44263,11.684
-4.69266,3.12614,-8.44263,0.573548
-4.69267,3.12614,-8.44259,12.7425
-1.24433,0.571398,4.84952,11.684
-1.21032,0.571398,4.84952,0.0657457
-1.21034,0.571385,4.84948,13.2503
-2.99409,-2.49338,-8.54377,9.884
-2.98164,-2.49338,-8.54377,8.09189
-2.98161,-2.49337,-8.54374,7.02411
-2.47889,2.18084,5.47656,9.884
-2.47874,2.18088,5.47663,0.183611
-2.47871,2.18087,5.47667,14.9324
-2.72965,0.785875,-7.32338,9.884
-2.71276,0.785875,-7.32338,0.830962
-2.71272,0.785906,-7.32339,14.285
-2.57292,0.442865,-3.82488,9.884
-2.57097,0.442865,-3.82488,0.103764
-2.57093,0.442897,-3.8249,15.0122
1.96615,2.31959,-7.7178,9.884
2.00292,2.31959,-7.7178,0.0476363
2.00295,2.31956,-7.71777,15.0684
1.75864,2.99649,-4.85884,9.884
1.79881,2.99649,-4.85884,0.934514
1.79884,2.99652,-4.85881,14.1815
-2.91684,1.82971,-7.84282,11.684
-2.91519,1.82971,-7.84282,0.146698
-2.9152,1.82972,-7.84286,13.1693
-1.09871,0.104773,-0.726427,11.139
-1.09442,0.104773,-0.726427,2.90702
-1.09439,0.104807,-0.726433,10.954
-2.65063,1.78335,5.41423,1.796
-2.61236,1.78335,5.41423,0.105977
-2.61228,1.78339,5.41423,23.098
1.49114,3.12433,4.85528,2.712
1.52732,3.12433,4.85528,0.543462
1.52726,3.12433,4.85522,21.7445
1.5825,2.35254,-2.75825,9.884
1.60414,2.35254,-2.75825,0.36776
1.60415,2.35258,-2.75829,14.7482
-2.00386,3.00038,-1.30709,11.139
-1.96707,3.00038,-1.30709,0.0686743
-1.96703,3.00039,-1.3071,13.7923
-0.991606,0.414999,2.99029,11.139
-0.969992,0.414999,2.99029,0.796778
-0.969971,0.415036,2.9903,13.0642
-2.24895,0.265442,-3.2618,11.684
-2.24748,0.265442,-3.2618,0.520159
-2.24749,0.265442,-3.26184,12.7958
-0.70646,0.801366,8.2174,2.197
-0.702343,0.801366,8.2174,0.452529
-0.7023,0.801315,8.21745,22.3505
-2.44701,2.15143,-7.55768,2.712
-2.44668,2.15143,-7.55768,0.668364
-2.44662,2.1514,-7.5577,0.205643
-2.44654,2.1514,-7.55774,0.140527
-2.44653,2.15137,-7.55777,1.5022
-2.44654,2.15131,-7.55783,0.216362
-2.44653,2.15124,-7.55788,0.396749
-2.44655,2.1512,-7.55791,1.513
-2.44655,2.15113,-7.55788,1.24364
-2.44655,2.15107,-7.55787,1.28149
-2.44652,2.15109,-7.55789,0.0731341
-2.44648,2.15113,-7.55789,0.763828
-2.44646,2.15116,-7.55787,0.99329
-2.44644,2.15119,-7.55783,0.848426
-2.44642,2.15122,-7.55781,0.0413348
-2.44639,2.15124,-7.55779,0.159682
-2.44638,2.15127,-7.55777,0.973521
-2.44641,2.15127,-7.55776,0.102888
-2.44644,2.15127,-7.55776,0.0988409
-2.44647,2.15128,-7.55775,0.0273552
-2.4465,2.15129,-7.55774,0.850623
-2.44652,2.1513,-7.55773,0.194305
-2.44654,2.15131,-7.55773,0.488285
-2.44654,2.15133,-7.55775,0.151192
-2.44655,2.15135,-7.55777,0.0323566
-2.44656,2.15137,-7.55779,9.32097
-1.59572,3.36202,-0.974236,9.884
-1.57471,3.36202,-0.974236,0.130539
-1.5747,3.36204,-0.974249,14.9855
-2.7803,1.02338,-6.35958,11.684
-2.77798,1.02338,-6.35958,0.141688
-2.77798,1.02341,-6.3596,13.1743
-2.02119,2.95884,1.80328,9.884
-1.97194,2.95884,1.80328,2.02626
-1.9719,2.95885,1.80326,13.0897
-4.89809,0.756695,-8.54825,11.139
-4.8953,0.756695,-8.54825,0.748312
-4.8953,0.75674,-8.54826,13.1127
-3.15489,2.81759,3.1357,11.684
-3.13034,2.81759,3.1357,0.0134152
-3.13031,2.81756,3.13569,13.3026
-1.37589,3.23554,0.419739,11.139
-1.37571,3.23554,0.419739,0.997706
-1.37575,3.23554,0.419764,0.153021
-1.37578,3.23554,0.419763,0.0726787
-1.37583,3.23553,0.419762,0.0745238
-1.37586,3.23552,0.41976,0.0205495
-1.37587,3.23552,0.419759,0.0151649
-1.3759,3.23553,0.41974,0.350449
-1.37591,3.23552,0.419729,0.074717
-1.37592,3.23552,0.419719,0.64435
-3.69707,2.26283,2.13672,11.684
-3.67348,2.26283,2.13672,0.104133
-3.67349,2.26286,2.13673,13.2119
-1.51496,0.0353815,-1.23313,11.684
-1.52464,0.0450645,-1.21893,0.927775
-1.52467,0.0450698,-1.21893,12.3882
-2.95826,1.91742,-4.70036,11.139
-2.94082,1.91742,-4.70036,0.778355
-2.9408,1.91739,-4.70038,13.0826
-3.72465,2.25998,2.63353,11.684
-3.69562,2.25998,2.63353,0.124644
-3.69559,2.26,2.63352,13.1914
-2.45088,0.284624,-3.96911,11.139
-2.34039,0.284624,-3.96911,0.043034
-2.34035,0.284631,-3.9691,13.818
1.79932,2.71728,-3.94041,9.884
1.8145,2.71728,-3.94041,1.20072
1.81448,2.71726,-3.94037,13.9153
-2.78758,5.51388,-8.42988,11.139
-2.78719,5.51415,-8.43013,0.746906
-2.78721,5.51413,-8.43012,13.1141
-3.27421,0.592708,-8.37381,9.884
-3.2733,0.592708,-8.37381,0.0728759
-3.27329,0.592725,-8.37376,0.138273
-3.27327,0.592685,-8.37376,1.03678
-3.27327,0.592635,-8.37377,0.613826
-3.27327,0.592588,-8.37377,1.6918
-3.27327,0.592545,-8.37378,0.118659
-3.27328,0.592509,-8.37378,0.567085
-3.27328,0.592484,-8.37378,0.207748
-3.2733,0.592488,-8.37381,0.261737
-3.27331,0.592513,-8.37381,2.12619
-3.27331,0.592539,-8.37383,0.494861
-3.27331,0.592539,-8.37382,7.78617
-0.795728,1.11191,7.66302,2.712
-0.777263,1.11191,7.66302,0.897535
-0.777219,1.11183,7.66304,21.3905
-0.5686,0.318177,8.26789,9.884
-0.53726,0.318177,8.26789,0.356104
